iter	Passed	Remaining
0	1	133
1	2	128
2	3	122
3	4	115
4	5	113
5	7	113
6	8	111
7	9	109
8	10	109
9	11	107
10	12	104
11	14	103
12	15	101
13	16	101
14	17	100
15	18	99
16	20	97
17	21	96
18	22	95
19	23	94
20	24	93
21	26	92
22	27	91
23	28	90
24	29	89
25	30	87
26	31	86
27	33	84
28	34	83
29	35	82
30	36	81
31	37	80
32	38	78
33	39	77
34	41	76
35	42	75
36	43	74
37	45	73
38	46	72
39	47	71
40	48	70
41	49	67
42	50	66
43	51	65
44	52	64
45	53	62
46	54	62
47	56	60
48	57	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	49
58	69	48
59	71	47
60	75	48
61	77	47
62	78	45
63	79	44
64	81	43
65	82	42
66	83	41
67	84	39
68	85	38
69	86	37
70	87	35
71	88	34
72	90	33
73	91	32
74	92	30
75	93	29
76	95	28
77	96	27
78	97	25
79	98	24
80	99	23
81	100	22
82	101	20
83	102	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	111	10
91	112	9
92	113	8
93	114	7
94	115	6
95	116	4
96	118	3
97	119	2
98	120	1
99	121	0
